Path,      Total Latency (s),    Total Noise Power (W)  ,  SNR (dB)  
C->A->B->E->F->D,0.020979871106108716,4.193071418282341e-06,23.774677404340704
C->A->B->F->D,0.013881613698674154,2.7744020611546646e-06,25.568306015583513
C->B->A->D->F->E,0.0174091081972534,3.479412892028365e-06,24.584940317038004
C->B->A->E,0.007916912082036142,1.5822870218956754e-06,28.007147340374253
C->B->D->A->E,0.011731273998073142,2.3446316449025568e-06,26.299253777471947
C->B->D->F->E,0.01336936140278061,2.6720224778866187e-06,25.731598927604654
C->B->E,0.006477859217596778,1.2946755582808633e-06,28.878390508119235
C->B->F->E,0.006484215437040619,1.2959459227146344e-06,28.874131203455377
C->B->F->D->A->E,0.011884484621953626,2.3752525712524526e-06,26.242902031047606
C->D->A->E,0.008475468446472397,1.6939210121796012e-06,27.71106844757569
C->D->A->B->E,0.016103465937323556,3.2184650904463355e-06,24.92351197148262
C->D->A->B->F->E,0.016109822156767397,3.219735454880107e-06,24.921798100450275
C->D->F->B->A->E,0.013655982631170616,2.7293070662692983e-06,25.63947600393042
C->D->F->B->E,0.012216929766731253,2.441695602654486e-06,26.123084789363652
C->D->F->E,0.010113555851179868,2.0213118451636634e-06,26.94366678970559
C->D->B->A->E,0.013502772007290132,2.6986861399194025e-06,25.688476214187155
C->D->B->E,0.012063719142850766,2.4110746763045902e-06,26.177893383555325
C->D->B->F->E,0.012070075362294607,2.4123450407383612e-06,26.17560574404347
C->A->D->F->B->E,0.017875958537776758,3.572718366097454e-06,24.470012174584994
C->A->D->F->E,0.015772584622225375,3.1523346086066315e-06,25.01367689990012
C->A->D->B->E,0.017722747913896275,3.5420974397475583e-06,24.50739495951529
C->A->D->B->F->E,0.017729104133340116,3.5433678041813293e-06,24.50583765240697
C->A->E,0.006280388507008117,1.2552087384739425e-06,29.012840459525066
C->A->B->D->F->E,0.02079988818304311,4.157099736346432e-06,23.8120955585816
C->A->B->E,0.013908385997859277,2.779752816740677e-06,25.559938210237743
C->A->B->F->E,0.013914742217303117,2.781023181174448e-06,25.557953910660135
C->B->A->D->F,0.0138568013838142,2.769443031247641e-06,25.57607564068212
C->B->A->E->F,0.011469218895475343,2.292256882676399e-06,26.397367145940617
C->B->D->A->E->F,0.015283580811512341,3.0546015056832805e-06,25.150454385052345
